ingredient_Alfredo Sauce,ingredient_Anchovies,ingredient_Artichoke,ingredient_Artichokes,ingredient_Arugula,ingredient_Asiago Cheese,ingredient_Bacon,ingredient_Barbecue Sauce,ingredient_Barbecued Chicken,ingredient_Beef Chuck Roast,ingredient_Blue Cheese,ingredient_Brie Carre Cheese,ingredient_Calabrese Salami,ingredient_Capocollo,ingredient_Caramelized Onions,ingredient_Chicken,ingredient_Chipotle Sauce,ingredient_Chorizo Sausage,ingredient_Cilantro,ingredient_Coarse Sicilian Salami,ingredient_Corn,ingredient_Eggplant,ingredient_Feta Cheese,ingredient_Fontina Cheese,ingredient_Friggitello Peppers,ingredient_Garlic,ingredient_Genoa Salami,ingredient_Goat Cheese,ingredient_Gorgonzola Piccante Cheese,ingredient_Gouda Cheese,ingredient_Green Olives,ingredient_Green Peppers,ingredient_Italian Sausage,ingredient_Jalapeno Peppers,ingredient_Kalamata Olives,ingredient_Luganega Sausage,ingredient_Mozzarella Cheese,ingredient_Mushrooms,ingredient_Nduja Salami,ingredient_Onions,ingredient_Oregano,ingredient_Pancetta,ingredient_Parmigiano Reggiano Cheese,ingredient_Pears,ingredient_Peperoncini verdi,ingredient_Pepperoni,ingredient_Pesto Sauce,ingredient_Pineapple,ingredient_Plum Tomatoes,ingredient_Prosciutto,ingredient_Prosciutto di San Daniele,ingredient_Provolone Cheese,ingredient_Red Onions,ingredient_Red Peppers,ingredient_Ricotta Cheese,ingredient_Romano Cheese,ingredient_Sliced Ham,ingredient_Smoked Gouda Cheese,ingredient_Soppressata Salami,ingredient_Spinach,ingredient_Sun-dried Tomatoes,ingredient_Thai Sweet Chilli Sauce,ingredient_Thyme,ingredient_Tomato Sauce,ingredient_Tomatoes,ingredient_Zucchini
0.29,0.07,0.28,1.67,0.0,0.37,0.35,0.44,0.42,0.29,0.0,0.0,0.1,0.8200000000000001,0.0,0.7300000000000002,0.2,0.23,0.53,0.16,0.44,0.26,0.47,0.76,0.0,4.24,0.52,1.21,0.64,0.26,0.5900000000000001,0.44,0.09,0.8200000000000001,0.33,0.17,5.4300000000000015,0.78,0.0,0.08,0.28,0.0,0.32,0.0,0.21,2.5800000000000005,0.78,1.08,0.05,0.0,0.0,0.0,1.34,1.5000000000000004,0.76,0.0,1.2,0.0,0.42,1.39,0.26,0.0,0.0,4.59,3.1999999999999997,0.55
0.0,0.14,0.14,0.6,0.26,0.04,0.7,1.1,1.05,0.58,0.0,0.0,0.1,0.42,0.0,0.68,0.08,0.46,0.44,0.16,0.28,0.13,0.36,0.16,0.0,2.6100000000000003,0.26,0.81,0.96,0.13,0.39,0.88,0.18,0.54,0.22,0.17,5.67,0.3,0.0,0.08,0.0,0.0,0.48,0.0,0.21,1.22,0.24,0.68,0.0,0.0,0.34,0.0,0.9900000000000002,1.7100000000000002,1.14,0.0,0.6,0.0,0.0,0.23,0.0,0.44,0.0,4.61,2.729999999999999,0.22
0.58,0.0,0.28,0.75,0.26,0.28,0.81,0.0,0.0,0.0,0.0,0.14,0.1,0.33,0.11,0.6000000000000001,0.12,0.23,0.09,0.0,0.16,0.13,0.08,0.54,0.0,2.47,0.0,1.08,0.32,0.26,0.41,0.28,0.09,0.48,0.0,0.0,4.850000000000001,0.98,0.0,0.0,0.0,0.0,0.16,0.07,0.28,3.53,0.1,0.81,0.0,0.06,0.34,0.0,0.88,0.9299999999999998,0.38,0.0,0.8999999999999999,0.0,0.21,0.44,0.0,0.0,0.11,4.659999999999999,0.91,0.33
0.29,0.07,0.14,1.14,0.0,0.6,1.4,0.88,0.84,0.29,0.6900000000000001,0.0,0.4,1.3900000000000003,0.0,0.37,0.16,0.92,0.31,0.32,0.3,0.13,0.3399999999999999,0.16,0.42,3.7800000000000007,1.04,0.67,0.32,0.13,1.3600000000000003,1.0,0.36,0.45,0.21,0.34,7.010000000000002,0.8300000000000001,0.48,0.16,0.28,0.09,0.16,0.0,0.07,3.7,0.4,0.81,0.0,0.0,0.0,0.42,2.68,1.8200000000000005,0.38,0.36,0.8999999999999999,0.63,0.0,1.3400000000000003,0.22,0.0,0.0,5.499999999999999,3.87,0.55
0.29,0.07,0.14,1.2499999999999998,0.26,0.14,0.35,0.66,0.63,0.29,0.6900000000000001,0.14,0.4,0.98,0.11,1.34,0.2799999999999999,0.23,0.97,0.64,0.7200000000000001,0.39,0.71,0.6,0.28,5.430000000000001,0.0,1.48,0.48,0.13,2.12,1.3200000000000005,0.09,0.96,0.28,0.68,8.780000000000003,2.3400000000000003,0.32,0.32,0.28,0.06,0.24,0.07,0.28,2.97,0.3,1.09,0.05,0.06,0.34,0.42,2.3100000000000005,2.54,0.5700000000000001,0.36,0.8999999999999999,0.63,0.42,1.6100000000000003,0.04,0.88,0.11,8.670000000000002,4.399999999999999,0.99
0.58,0.0,0.28,0.89,0.0,0.5800000000000001,0.92,0.0,0.0,0.0,0.23,0.0,0.3,0.6200000000000001,0.0,1.05,0.24,0.0,0.18,0.0,0.32,0.13,0.2,0.32,0.0,2.640000000000001,0.0,0.74,0.16,0.26,0.67,0.36,0.0,0.56,0.27,0.0,3.2500000000000004,1.08,0.0,0.0,0.14,0.0,0.08,0.0,0.14,1.87,0.38,0.34,0.05,0.0,0.0,0.14,1.71,1.7200000000000002,0.19,0.12,0.3,0.21,0.0,1.3000000000000005,0.04,0.22,0.0,3.0299999999999994,1.75,0.33
0.58,0.0,0.7000000000000001,0.75,0.13,0.32,0.93,0.0,0.0,0.29,0.0,0.0,0.2,0.68,0.0,1.97,0.16,0.46,0.31,0.32,0.3,0.0,0.27,0.8,0.42,3.67,0.26,1.01,0.16,0.65,0.4599999999999999,0.2,0.18,1.25,0.11,0.34,5.07,0.7100000000000002,0.48,0.16,0.14,0.09,0.08,0.0,0.21,2.5500000000000003,0.43,0.6200000000000001,0.0,0.0,0.17,0.0,1.7400000000000002,2.3200000000000003,0.19,0.0,0.3,0.0,0.0,0.8400000000000001,0.11,1.1,0.0,4.490000000000001,3.0599999999999996,0.11
0.8699999999999999,0.21,0.42,2.1,0.13,0.5,0.58,0.22,0.21,0.29,0.6900000000000001,0.0,0.4,1.2600000000000002,0.0,1.88,0.3999999999999999,0.23,1.06,0.16,0.8800000000000001,0.52,0.8099999999999998,1.14,0.0,6.7200000000000015,0.52,1.48,0.64,0.39,0.86,0.52,0.09,1.44,0.62,0.17,9.77,1.7600000000000002,0.0,0.08,0.28,0.0,0.32,0.0,0.28,4.560000000000001,0.6900000000000001,2.1,0.15,0.0,0.17,0.42,2.8299999999999996,2.6700000000000004,0.76,0.36,2.0999999999999996,0.63,0.63,1.27,0.2299999999999999,0.66,0.0,8.520000000000001,4.27,0.99
0.0,0.14,0.28,1.05,0.26,0.0,0.35,0.44,0.42,0.29,0.23,0.0,0.1,0.2799999999999999,0.0,0.13,0.3999999999999999,0.23,0.49,0.16,0.62,0.26,0.26,0.32,0.28,3.3100000000000005,0.0,0.81,0.32,0.26,0.67,0.4,0.09,0.81,0.11,0.17,4.8,0.39,0.32,0.08,0.0,0.06,0.16,0.0,0.21,2.27,0.35,0.27,0.0,0.0,0.34,0.14,1.1700000000000002,0.93,0.38,0.12,0.3,0.21,0.0,0.41,0.11,0.0,0.0,4.27,2.24,0.44
0.0,0.07,0.56,0.35,0.0,0.0,0.46,0.44,0.42,0.29,0.0,0.0,0.6,1.04,0.0,1.01,0.36,0.0,0.27,0.16,0.48,0.13,0.48,1.08,0.14,4.810000000000001,0.0,0.4,0.48,0.52,0.96,0.76,0.0,1.04,0.28,0.17,5.710000000000002,1.1,0.16,0.08,0.28,0.03,0.24,0.0,0.0,2.3600000000000003,0.24,0.55,0.05,0.0,0.0,0.0,2.6000000000000005,2.28,0.5700000000000001,0.0,0.3,0.0,0.42,1.0100000000000002,0.04,0.88,0.0,5.030000000000001,2.51,0.55
