Alfredo Sauce,Anchovies,Artichoke,Artichokes,Arugula,Asiago Cheese,Bacon,Barbecue Sauce,Barbecued Chicken,Beef Chuck Roast,Blue Cheese,Brie Carre Cheese,Calabrese Salami,Capocollo,Caramelized Onions,Chicken,Chipotle Sauce,Chorizo Sausage,Cilantro,Coarse Sicilian Salami,Corn,Eggplant,Feta Cheese,Fontina Cheese,Friggitello Peppers,Garlic,Genoa Salami,Goat Cheese,Gorgonzola Piccante Cheese,Gouda Cheese,Green Olives,Green Peppers,Italian Sausage,Jalapeno Peppers,Kalamata Olives,Luganega Sausage,Mozzarella Cheese,Mushrooms,Nduja Salami,Onions,Oregano,Pancetta,Parmigiano Reggiano Cheese,Pears,Peperoncini verdi,Pepperoni,Pesto Sauce,Pineapple,Plum Tomatoes,Prosciutto,Prosciutto di San Daniele,Provolone Cheese,Red Onions,Red Peppers,Ricotta Cheese,Romano Cheese,Sliced Ham,Smoked Gouda Cheese,Soppressata Salami,Spinach,Sun-dried Tomatoes,Thai Sweet Chilli Sauce,Thyme,Tomato Sauce,Tomatoes,Zucchini
0.58,0.0,0.0,0.3,0.0,0.36,0.7,0.66,0.63,0.29,0.23,0.0,0.4,1.06,0.0,1.1800000000000002,0.39999999999999997,0.46,0.49,0.0,0.62,0.0,0.6699999999999999,0.0,0.0,2.3300000000000005,0.52,0.4,0.48,0.0,1.9200000000000002,0.5599999999999999,0.18,0.41000000000000003,0.11,0.0,4.99,1.38,0.0,0.0,0.28,0.0,0.24,0.0,0.0,2.55,0.15,0.75,0.0,0.0,0.0,0.14,1.59,2.15,0.5700000000000001,0.12,0.6,0.21,0.0,1.34,0.11,0.66,0.0,4.65,2.4999999999999996,0.0
0.0,0.0,0.0,1.31,0.26,0.49,1.27,0.88,0.84,0.29,0.23,0.0,0.30000000000000004,0.8600000000000001,0.0,0.98,0.24000000000000002,0.23,0.75,0.32,0.5800000000000001,0.13,0.38,0.0,0.0,3.1900000000000004,0.26,1.28,0.16,0.0,0.87,1.1600000000000001,0.09,0.5900000000000001,0.43,0.34,6.250000000000003,1.37,0.0,0.16,0.14,0.0,0.08,0.0,0.28,4.17,0.52,0.41000000000000003,0.05,0.0,0.34,0.14,2.0900000000000003,2.47,0.19,0.12,0.3,0.21,0.0,1.5500000000000003,0.04,0.44,0.0,5.5600000000000005,3.93,0.33
0.0,0.14,0.56,1.24,0.26,0.33999999999999997,0.9299999999999999,0.88,0.84,0.8699999999999999,1.1500000000000001,0.0,0.8,1.8800000000000001,0.0,1.03,0.72,0.46,1.1099999999999999,0.32,1.2200000000000002,0.13,0.95,0.86,0.14,6.870000000000002,0.26,1.27,0.32,0.52,1.6800000000000002,0.88,0.18,1.7100000000000002,0.77,0.34,7.71,0.8,0.16,0.16,0.7000000000000001,0.03,0.16,0.0,0.07,2.5000000000000004,0.39,0.48000000000000004,0.1,0.0,0.34,0.7000000000000001,3.5899999999999994,2.98,0.38,0.6,0.3,1.05,0.21,1.6500000000000004,0.19,0.66,0.0,7.769999999999999,4.949999999999999,0.44
0.0,0.21000000000000002,0.14,0.42,0.13,0.22999999999999998,0.35,0.88,0.84,0.58,0.0,0.0,0.30000000000000004,0.8500000000000001,0.0,0.42000000000000004,0.04,0.23,0.22,0.32,0.14,0.13,0.44999999999999996,0.38,0.0,3.1800000000000006,0.52,0.47000000000000003,0.0,0.13,0.83,0.64,0.09,0.37,0.27,0.34,3.84,0.38,0.0,0.16,0.14,0.0,0.0,0.0,0.07,2.5800000000000005,0.24000000000000002,0.34,0.0,0.0,0.17,0.0,1.5,1.28,0.0,0.0,0.3,0.0,0.21,0.42000000000000004,0.0,0.22,0.0,3.8599999999999985,2.89,0.22
0.29,0.14,0.42000000000000004,1.6799999999999997,0.39,0.82,0.94,0.88,0.84,1.16,0.92,0.0,0.30000000000000004,1.31,0.0,0.96,0.52,0.92,1.15,0.64,1.04,0.13,0.98,0.7,0.0,6.940000000000003,0.52,1.9500000000000002,0.32,0.39,1.2300000000000002,1.12,0.36,1.52,0.64,0.68,10.38,1.0799999999999998,0.0,0.32,0.42000000000000004,0.0,0.16,0.0,0.35000000000000003,5.730000000000001,0.39,1.6900000000000002,0.0,0.0,0.51,0.56,3.31,2.49,0.38,0.48,1.7999999999999998,0.84,0.21,1.7800000000000002,0.11,0.22,0.0,9.460000000000003,5.640000000000001,0.66
0.0,0.07,0.14,1.9100000000000001,0.0,0.44999999999999996,1.05,0.22,0.21,0.29,0.46,0.0,0.2,0.9,0.0,1.4300000000000002,0.27999999999999997,0.6900000000000001,0.4,0.0,0.46,0.26,0.39,0.6,0.0,4.5200000000000005,0.0,1.9500000000000002,0.16,0.13,0.34,0.36,0.27,0.53,0.43,0.0,5.84,0.8700000000000001,0.0,0.0,0.42000000000000004,0.0,0.08,0.0,0.35000000000000003,2.7600000000000002,0.35,1.3000000000000003,0.05,0.0,0.0,0.28,1.9000000000000001,2.67,0.19,0.24,0.8999999999999999,0.42,0.42,0.92,0.15,1.54,0.0,4.7700000000000005,3.7599999999999993,0.55
0.0,0.35000000000000003,0.7000000000000001,1.04,0.39,0.38,0.8200000000000001,0.22,0.21,0.8699999999999999,0.0,0.0,0.30000000000000004,0.9800000000000001,0.0,1.49,0.16,0.6900000000000001,0.31,0.32,0.30000000000000004,0.13,0.75,0.8,0.0,5.050000000000001,0.52,0.67,0.32,0.65,0.99,0.4,0.27,1.25,0.6,0.34,7.960000000000003,0.44,0.0,0.16,0.28,0.0,0.16,0.0,0.07,3.74,0.39,1.5000000000000002,0.05,0.0,0.51,0.0,2.38,2.32,0.38,0.0,1.2,0.0,0.0,1.2500000000000004,0.15,1.32,0.0,7.49,4.3599999999999985,0.44
1.4499999999999997,0.07,0.42000000000000004,1.7999999999999998,0.26,0.8200000000000001,0.71,0.66,0.63,0.58,0.46,0.14,0.1,0.7300000000000001,0.11,2.09,0.32,0.92,0.62,0.64,0.6000000000000001,0.13,0.36,0.7,0.14,4.3500000000000005,0.78,0.47000000000000003,0.32,0.39,0.6100000000000001,0.7999999999999999,0.36,1.1,0.22,0.68,6.700000000000002,0.73,0.16,0.32,0.14,0.03,0.16,0.07,0.07,2.2800000000000002,0.99,0.6800000000000002,0.0,0.06,0.34,0.28,1.6800000000000002,2.6500000000000004,0.38,0.24,0.6,0.42,0.21,1.0,0.55,0.44,0.11,5.62,4.079999999999999,0.44
0.0,0.0,0.56,0.8500000000000001,0.26,0.0,0.58,0.66,0.63,0.58,0.46,0.0,0.0,0.1,0.0,0.77,0.2,0.23,0.53,0.16,0.44000000000000006,0.13,0.77,0.64,0.0,2.87,0.0,0.54,0.48,0.52,0.38,0.9199999999999999,0.09,1.22,0.56,0.17,5.570000000000001,0.8200000000000002,0.0,0.08,0.0,0.0,0.24,0.0,0.14,2.5,0.24000000000000002,0.6800000000000002,0.1,0.0,0.34,0.28,1.48,1.7499999999999998,0.5700000000000001,0.24,0.6,0.42,0.0,1.4000000000000001,0.08,0.44,0.0,4.86,2.1300000000000003,0.55
0.29,0.14,0.0,0.75,0.26,0.14,0.23,0.66,0.63,0.58,0.23,0.0,0.1,0.31,0.0,0.72,0.04,0.0,0.22,0.16,0.14,0.26,0.36,0.0,0.0,1.9300000000000002,0.0,0.47000000000000003,0.16,0.0,0.39,0.5599999999999999,0.0,0.17,0.22,0.17,3.24,0.28,0.0,0.08,0.14,0.0,0.08,0.0,0.07,0.48,0.35,0.41000000000000003,0.0,0.0,0.34,0.14,0.8200000000000002,1.4599999999999997,0.19,0.12,0.3,0.21,0.0,0.09,0.11,0.44,0.0,2.81,2.06,0.44
